Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21400;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;16,74;2;0,2;2,51
US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21400;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10004738;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;22,72;2;0,2;7,27
US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21400;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;TEC-AC-10001998;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2,0 Flash Drive;12,96;3;0,2;5,18
CA-2017-106320;2017-11-11;2017-11-16;Standard Class;AG-10465;Adrian Barton;Consumer;United States;New York City;New York;10024;East;OFF-BI-10000474;Office Supplies;Binders;Acco Pressboard Covers with Storage Hooks 14 7/8 x 11 Light Blue;13,98;3;0;4,89
US-2016-104220;2016-10-19;2016-10-23;Standard Class;CS-12355;Clay Seguerra;Home Office;United States;Los Angeles;California;90049;West;TEC-PH-10001949;Technology;Phones;Panasonic KX-TG6844B;287,99;3;0;57,6
US-2016-104220;2016-10-19;2016-10-23;Standard Class;CS-12355;Clay Seguerra;Home Office;United States;Los Angeles;California;90049;West;OFF-PA-10000249;Office Supplies;Paper;Rediform S,O,S, Phone Message Books;15,76;2;0;5,91
CA-2014-167164;2014-05-13;2014-05-15;Second Class;PO-18865;Patrick O'Donnell;Home Office;United States;Naperville;Illinois;60540;Central;FUR-FU-10003799;Furniture;Furnishings;Ultra Commercial Grade Dual Valve Door Closer;665,88;6;0;13,32
CA-2014-143259;2014-08-13;2014-08-18;Standard Class;CC-12370;Carlos Conte;Consumer;United States;Miami;Florida;33180;South;TEC-CO-10004722;Technology;Copiers;Sharp AL-1530CS Digital Copier;1999,99;4;0;599,99
CA-2014-143259;2014-08-13;2014-08-18;Standard Class;CC-12370;Carlos Conte;Consumer;United States;Miami;Florida;33180;South;OFF-BI-10002309;Office Supplies;Binders;GBC Prepunched Paper Plastic Binding Combs;31,12;2;0;8,65
CA-2017-120327;2017-09-14;2017-09-19;Standard Class;SC-20770;Steven Cartwright;Consumer;United States;Chicago;Illinois;60614;Central;OFF-FA-10000304;Office Supplies;Fasteners;Advantus Plastic Paper Clips 10/Box;3,54;5;0,8;-5,49
US-2017-119662;2017-04-04;2017-04-09;Standard Class;KL-16705;Katherine Linden;Consumer;United States;Eagan;Minnesota;55122;Central;TEC-MA-10004770;Technology;Machines;Lexmark MX611dhe Monochrome Laser Printer;2199,98;3;0,2;879,99
CA-2016-105816;2016-11-11;2016-11-15;Standard Class;SD-20995;Sanjit Dhar;Consumer;United States;Seattle;Washington;98115;West;OFF-AR-10003056;Office Supplies;Art;Sanford Colorific Colored Pencils 12/Box;7,84;2;0;3,69
US-2016-118983;2016-11-22;2016-11-26;Standard Class;GT-14710;Grants Thornton;Consumer;United States;Bowling Green;Kentucky;42101;South;FUR-FU-10000010;Furniture;Furnishings;Tenex B1-RE Series Chair Mats for Low Pile Carpets;91,06;2;0;15,48
CA-2015-105893;2015-11-05;2015-11-11;Standard Class;PO-19195;Patrick O'Brill;Consumer;United States;Bloomington;Illinois;61701;Central;OFF-PA-10001568;Office Supplies;Paper;Xerox 198;19,99;3;0,2;5,6
CA-2015-105893;2015-11-05;2015-11-11;Standard Class;PO-19195;Patrick O'Brill;Consumer;United States;Bloomington;Illinois;61701;Central;OFF-BI-10004094;Office Supplies;Binders;Ibico Standard Transparent Covers;14,76;3;0,2;6,51
CA-2016-121755;2016-01-16;2016-01-20;Second Class;CC-12220;Christopher Conant;Consumer;United States;Indianapolis;Indiana;46254;Central;TEC-PH-10003645;Technology;Phones;AT&T CL2909;62,08;4;0;18,62
CA-2016-121755;2016-01-16;2016-01-20;Second Class;CC-12220;Christopher Conant;Consumer;United States;Indianapolis;Indiana;46254;Central;OFF-BI-10002852;Office Supplies;Binders;Wilson Jones Hanging View Binder White;42,08;2;0;16,41
US-2015-119823;2015-06-04;2015-06-09;Second Class;KB-16585;Karen Burch;Home Office;United States;Detroit;Michigan;48219;Central;OFF-PA-10000587;Office Supplies;Paper;Array Parchment Paper Super Gold;17,46;2;0;8,38
CA-2017-117590;2017-12-27;2017-12-31;Standard Class;JE-15745;Justin Ellison;Corporate;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10001525;Office Supplies;Binders;Fellowes Binding Cases;30,94;3;0;11,48
US-2015-118038;2015-10-06;2015-10-11;Standard Class;CC-12475;Craig Carreira;Consumer;United States;Seattle;Washington;98103;West;OFF-AP-10001041;Office Supplies;Appliances;Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum;5,96;2;0;2,98
CA-2016-139451;2016-09-16;2016-09-20;Standard Class;JM-15655;Julie McConnell;Consumer;United States;Los Angeles;California;90032;West;TEC-AC-10004633;Technology;Accessories;Imation 16GB Mini TravelDrive USB 2,0 Flash Drive;21,78;3;0;8,71
CA-2016-139451;2016-09-16;2016-09-20;Standard Class;JM-15655;Julie McConnell;Consumer;United States;Los Angeles;California;90032;West;OFF-PA-10002947;Office Supplies;Paper;Wirebound Message Books 2 7/8 x 5;7,26;3;0;3,63
US-2017-133765;2017-07-14;2017-07-19;Standard Class;PC-18685;Paul Coyle;Consumer;United States;Eagan;Minnesota;55122;Central;FUR-BO-10002545;Furniture;Bookcases;Bush Westfield Collection Bookcases Mobile;261,96;2;0;65,49
US-2017-133765;2017-07-14;2017-07-19;Standard Class;PC-18685;Paul Coyle;Consumer;United States;Eagan;Minnesota;55122;Central;OFF-BI-10001721;Office Supplies;Binders;Ibico Recycled Grain Textured Covers;20,64;3;0;6,2
CA-2014-118255;2014-03-11;2014-03-13;First Class;AS-10225;Allen Shillingsburg;Home Office;United States;Troy;Michigan;48084;Central;OFF-PA-10000174;Office Offices;Paper;Xerox 1881;26,32;2;0;10,01
